channel,precision,recall,f1,support
1TV,0.0,0.0,0.0,0
ALJAZ,0.24705882352941178,0.7241379310344828,0.3684210526315789,29
BBCNEWS,0.8996655518394648,0.992619926199262,0.9438596491228071,271
BELARUSTV,0.0,0.0,0.0,0
BLOOMBERG,0.7475247524752475,0.888235294117647,0.8118279569892473,170
CNBC,0.726962457337884,0.83203125,0.7759562841530054,256
CNNW,0.8058823529411765,0.6255707762557078,0.7043701799485861,219
COM,0.0,0.0,0.0,0
CSPAN,0.5613207547169812,0.5833333333333334,0.5721153846153846,204
CSPAN2,0.44936708860759494,0.4303030303030303,0.43962848297213625,165
CSPAN3,0.37373737373737376,0.20903954802259886,0.26811594202898553,177
DW,0.29411764705882354,0.21739130434782608,0.25,46
FBC,0.7703349282296651,0.7523364485981309,0.7612293144208038,214
FOXNEWSW,0.8279569892473119,0.616,0.7064220183486238,250
GBN,0.5,1.0,0.6666666666666666,14
KDTV,0.7619047619047619,1.0,0.8648648648648649,32
KGO,0.44970414201183434,0.5390070921985816,0.49032258064516127,141
KNTV,0.5991379310344828,0.7513513513513513,0.6666666666666666,185
KPIX,0.5294117647058824,0.3050847457627119,0.3870967741935484,59
KQED,0.0,0.0,0.0,18
KRON,0.864406779661017,0.6754966887417219,0.758364312267658,151
KSTS,1.0,0.5909090909090909,0.7428571428571429,22
KTVU,0.5338345864661654,0.6173913043478261,0.5725806451612904,115
LINKTV,0.0,0.0,0.0,0
MSNBCW,0.5709459459459459,0.757847533632287,0.651252408477842,223
NTV,0.0,0.0,0.0,0
PRESSTV,0.0,0.0,0.0,0
RT,0.0,0.0,0.0,41
RUSSIA1,0.0,0.0,0.0,0
RUSSIA24,0.0,0.0,0.0,0
SFGTV,0.92,0.6216216216216216,0.7419354838709677,37
